Номер вантажу;Номер реф.;Запланована дата;Дата POD;Відділ дост.;Статус;Отримувач;Місто;Країна
804012002581772;838491582;2018/03/26;2018/03/26;D01;Вчасно;ФІНЄСТ;с.Ходосівка;UA
804012002581773;838491583;2018/03/26;;D01;Не доставлена;Гловер ТОВ;м. Бровари;UA
